date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,,-13.1,-3.5,82.3,76.0,,20.1,,,
2014-02-01,-7.2,-11.6,-3.2,60.7,76.0,,16.0,,,
2014-03-01,,-4.5,5.2,57.2,76.0,,,,,
2014-04-01,9.9,4.6,15.4,89.1,25.0,,18.5,,,
2014-05-01,17.2,11.9,22.6,154.3,0.0,,16.4,,,
2014-06-01,22.6,17.7,27.9,269.3,0.0,,15.1,,,
2014-07-01,22.6,17.7,27.2,139.5,0.0,,14.5,,,
2014-08-01,23.9,20.0,28.3,228.7,0.0,,12.8,,,
2014-09-01,18.9,13.9,24.0,77.7,,,12.9,,,
2014-10-01,12.8,8.3,16.9,102.6,0.0,,15.8,,,
2014-11-01,2.6,-1.6,6.5,36.6,0.0,,19.4,,,
2014-12-01,,-1.1,4.0,23.5,0.0,,,,,
2015-01-01,-3.6,-7.3,-0.3,39.5,76.0,,,,,
2015-02-01,-7.4,-12.1,-3.4,47.6,432.0,,17.6,,,
2015-03-01,,-1.2,8.0,20.7,25.0,,,,,
2015-04-01,11.3,5.8,16.8,86.5,0.0,,17.5,,,
2015-05-01,17.4,12.4,22.5,117.9,0.0,,16.5,,,
2015-06-01,21.0,16.2,26.2,212.3,0.0,,13.9,,,
2015-07-01,24.0,19.4,28.7,63.3,0.0,,13.1,,,
2015-08-01,23.4,18.9,28.1,95.3,0.0,,13.3,,,
2015-09-01,21.8,17.4,26.6,156.3,0.0,,13.8,,,
2015-10-01,13.6,9.3,18.1,45.3,0.0,,18.1,,,
2015-11-01,8.5,4.1,13.1,123.9,76.0,,18.2,,,
2015-12-01,,2.2,8.0,160.2,76.0,,,,,
2016-01-01,-2.6,-6.4,1.1,25.3,76.0,,17.0,,,
2016-02-01,0.3,-3.4,3.9,33.5,76.0,,18.7,,,
2016-03-01,,3.2,11.6,84.7,25.0,,,,,
2016-04-01,9.8,5.2,14.9,83.0,25.0,,17.8,,,
2016-05-01,16.7,11.4,21.9,151.0,0.0,,15.7,,,
2016-06-01,23.4,18.3,28.4,63.2,0.0,,14.8,,,
2016-07-01,25.1,20.7,29.6,209.3,0.0,,13.4,,,
2016-08-01,25.4,21.6,29.5,146.9,0.0,,12.4,,,
2016-09-01,22.2,18.1,26.3,60.3,0.0,,15.4,,,
2016-10-01,15.3,10.6,19.4,115.5,0.0,,14.5,,,
2016-11-01,9.2,5.1,13.5,54.7,0.0,,14.7,,,
2016-12-01,,-5.8,0.4,39.3,76.0,,,,,
2017-01-01,-0.9,-3.9,2.2,84.3,0.0,,,,,
2017-02-01,4.3,-0.6,9.2,68.9,0.0,,17.5,,,
2017-03-01,,0.4,8.3,130.5,76.0,,,,,
2017-04-01,12.5,7.3,17.7,190.2,,,18.4,,,
2017-05-01,14.9,10.1,19.9,112.8,0.0,,17.9,,,
2017-06-01,,17.7,28.6,55.2,0.0,,,,,
2017-07-01,,19.7,29.0,113.9,0.0,,,,,
2017-08-01,,17.7,27.1,43.3,0.0,,,,,
2017-09-01,21.4,16.5,26.6,15.0,,,13.4,,,
2017-10-01,14.6,10.5,18.9,271.6,0.0,,17.0,,,
2017-11-01,5.2,0.9,8.8,62.9,0.0,,15.9,,,
2017-12-01,-1.9,-5.7,1.8,11.3,76.0,,17.4,,,
2018-01-01,-3.3,-7.6,0.4,28.6,76.0,,19.0,,,
2018-02-01,-0.7,-5.7,3.9,139.0,76.0,,17.2,,,
2018-03-01,,-0.8,7.1,49.6,51.0,,,,,
2018-04-01,5.7,1.1,10.4,48.8,25.0,,16.8,,,
2018-05-01,19.4,14.3,25.2,133.3,0.0,,14.2,,,
2018-06-01,22.3,17.6,27.4,192.3,0.0,,14.6,,,
2018-07-01,24.9,20.3,29.4,66.1,0.0,,13.5,,,
2018-08-01,24.9,20.4,30.0,100.7,0.0,,13.2,,,
2018-09-01,20.8,16.4,25.8,58.1,0.0,,14.5,,,
2018-10-01,11.8,7.4,16.3,148.6,0.0,,15.4,,,
2018-11-01,2.0,-1.1,4.7,79.0,,,16.4,,,
2018-12-01,1.1,-2.3,4.8,76.2,,,,,,
2019-01-01,-5.1,-8.8,-1.8,48.9,76.0,,18.2,,,
2019-02-01,-2.5,-6.7,1.3,55.4,51.0,,17.9,,,
2019-03-01,,-2.5,6.4,73.5,0.0,,,,,
2019-04-01,10.4,5.4,15.7,171.9,76.0,,18.7,,,
2019-05-01,,10.0,20.5,227.3,0.0,,15.5,,,
2019-06-01,20.5,15.5,25.9,110.9,0.0,,14.6,,,
2019-07-01,25.6,21.0,30.4,136.1,0.0,,14.9,,,
2019-08-01,23.4,19.1,27.8,87.0,0.0,,12.9,,,
2019-09-01,21.6,17.6,25.7,205.5,0.0,,14.5,,,
2019-10-01,,7.1,16.0,177.2,51.0,,,,,
2019-11-01,2.3,-1.5,6.3,43.3,51.0,,15.8,,,
2019-12-01,2.0,-2.3,5.9,32.8,25.0,,16.4,,,
2020-01-01,-0.2,-3.5,2.8,79.8,76.0,,16.2,,,
2020-02-01,-1.1,-5.0,2.6,28.5,76.0,291.1,18.1,,,
2020-03-01,,1.6,10.1,74.2,76.0,,,,,
2020-04-01,8.7,4.0,14.4,149.5,0.0,,,,,
2020-05-01,15.4,10.7,20.4,225.4,0.0,,15.0,,,
2020-06-01,23.3,18.2,28.8,104.0,0.0,,14.5,,,
2020-07-01,26.1,21.4,30.7,104.4,0.0,,13.3,,,
2020-08-01,24.6,19.6,29.4,31.0,0.0,,13.1,,,
2020-09-01,19.0,14.4,23.7,87.0,0.0,,15.9,,,
2020-10-01,10.9,5.9,16.1,111.3,0.0,,16.5,,,
2020-11-01,8.6,3.8,13.3,57.1,0.0,,18.6,,,
2020-12-01,0.8,-2.8,4.3,64.0,76.0,,15.8,,,
2021-01-01,-1.0,-3.9,1.5,50.9,76.0,274.1,16.1,,,
2021-02-01,-5.9,-10.2,-2.2,41.3,660.0,290.0,16.3,,1022.5,
2021-03-01,,2.3,12.1,35.9,25.0,,,,,
2021-04-01,11.2,6.1,16.4,43.6,0.0,251.3,15.9,,1014.1,
2021-05-01,15.9,10.7,20.8,91.3,0.0,137.0,15.5,,1019.6,
2021-06-01,24.0,19.0,28.9,177.5,,194.8,14.1,,1013.1,
2021-07-01,24.2,19.9,28.4,48.9,0.0,323.6,14.4,,1015.7,
2021-08-01,25.5,20.9,30.1,96.3,0.0,156.3,12.9,,1015.5,
2021-09-01,21.7,16.7,27.2,24.9,0.0,227.2,15.7,,1014.4,
2021-10-01,15.8,12.1,19.8,205.8,0.0,235.3,14.4,,1013.6,
2021-11-01,5.0,0.4,9.3,22.9,0.0,247.2,16.1,,1019.5,
2021-12-01,4.2,-0.2,8.5,54.9,25.0,225.5,16.7,,1014.4,
2022-01-01,-4.9,-9.6,-0.7,28.4,76.0,271.4,17.8,,1021.5,
2022-02-01,-1.6,-6.0,2.9,102.1,76.0,264.5,19.8,,1021.2,
2022-03-01,5.6,1.2,10.5,101.8,25.0,262.1,17.8,,1015.1,
2022-04-01,9.7,5.3,14.0,98.8,0.0,240.9,19.5,,1014.4,
2022-05-01,19.0,14.2,23.6,91.8,0.0,151.9,17.8,,1012.9,
2022-06-01,24.1,18.3,29.4,53.5,0.0,247.9,14.6,,1014.1,
2022-07-01,25.6,21.1,29.7,188.9,0.0,268.1,14.3,,1013.6,
2022-08-01,24.9,20.4,29.4,58.4,0.0,248.7,13.9,,1015.2,
2022-09-01,21.1,16.5,25.7,46.6,0.0,280.6,13.6,,1016.7,
2022-10-01,13.5,8.2,18.8,58.3,0.0,237.4,15.8,,1016.5,
2022-11-01,6.7,2.2,11.2,30.6,0.0,229.9,18.0,,1019.0,
2022-12-01,-1.2,-4.9,2.1,57.4,51.0,240.3,18.2,,1019.1,
2023-01-01,0.2,-2.5,3.2,63.0,51.0,271.2,15.7,,1016.5,
2023-02-01,1.4,-3.4,6.0,99.9,25.0,249.7,19.0,,1016.8,
2023-03-01,3.7,-0.1,8.1,72.3,25.0,341.2,19.0,,1017.5,
2023-04-01,11.4,5.7,17.2,41.5,0.0,225.7,17.3,,1014.5,
2023-05-01,17.2,11.6,23.2,14.7,0.0,67.9,14.4,,1017.0,
2023-06-01,21.8,16.7,27.4,51.3,0.0,36.7,14.3,,1011.6,
2023-07-01,24.2,19.6,29.2,67.1,0.0,259.8,12.6,,1013.3,
2023-08-01,,,,,,,,,,
2023-09-01,,,,,,,,,,
2023-10-01,,,,,,,,,,
2023-11-01,,,,,,,,,,
2023-12-01,,,,,,,,,,
2024-01-01,,,,,,,,,,
